"INSTNM","CITY","STABBR","NUMBRANCH","LATITUDE","LONGITUDE","ADM_RATE","PCIP40","PCIP41","PCIP44","PCIP45","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","C150_4","PCTFLOAN","UG25ABV","GRADS","STUFACR","CONTROL_PEPS"
"Alabama A & M University","Normal","AL",1,34.783368,-86.568502,0.6622,0.0137,0,0.045,0.0196,5726,0.0885,23751,10024,18634,10011,6298,8610,0.7146,0.2874,0.5859,0.0707,769,19,"Public"
"University of Alabama at Birmingham","Birmingham","AL",1,33.505697,-86.799345,0.8842,0.0231,0,0.0129,0.0291,12118,0.1909,27826,8832,21864,12052,17179,12211,0.7584,0.626,0.4097,0.1656,8778,18,"Public"
"University of Alabama in Huntsville","Huntsville","AL",1,34.724557,-86.640449,0.7425,0.0514,0,0,0.0184,6650,0.1516,27098,11770,24662,9871,9461,10411,0.6308,0.6191,0.3391,0.1511,1892,17,"Public"
"Alabama State University","Montgomery","AL",1,32.364317,-86.295677,0.9564,0.0126,0,0.0589,0.0168,3322,0.1093,22028,11248,19576,9865,11082,8015,0.6637,0.3018,0.7776,0.0692,548,16,"Public"
"The University of Alabama","Tuscaloosa","AL",1,33.211875,-87.545978,0.7582,0.0106,0,0.0109,0.0799,32323,0.0732,32024,11900,33200,13885,9380,11090,0.7836,0.7369,0.3358,0.0601,6187,19,"Public"
"Auburn University at Montgomery","Montgomery","AL",1,32.36736,-86.177544,0.9263,0.0099,0,0.0212,0.024,2693,0.1972,21873,9436,20092,8907,7006,8823,0.6955,0.3568,0.456,0.2049,1782,15,"Public"
"Auburn University","Auburn","AL",1,32.599378,-85.488258,0.5047,0.0083,0,0.0046,0.0253,25732,0.0636,34402,12536,33944,16999,10041,11907,0.8587,0.7921,0.2701,0.0314,6141,21,"Public"
"Birmingham-Southern College","Birmingham","AL",1,33.513774,-86.850552,0.5194,0.0216,0,0,0.0504,713,0.0098,38385,22750,22750,9946,10898,6586,0.7455,0.6418,0.6738,0.0098,18,9,"Private Nonprofit"
"Faulkner University","Montgomery","AL",1,32.384181,-86.21641,0.6613,0,0,0,0.0022,1555,0.2109,36910,23920,23920,13890,8310,6574,0.5943,0.3766,0.5787,0.4094,1140,13,"Private Nonprofit"
"Herzing University-Birmingham","Birmingham","AL",11,33.468466,-86.832465,0.9449,0,0,0,0,445,0.6202,27195,13420,13420,13184,5079,6744,0.5185,0.25,0.7228,0.796,2,14,"Private Nonprofit"
"Huntingdon College","Montgomery","AL",1,32.351034,-86.284366,0.7083,0.0058,0,0,0.0116,865,0.0185,39686,28650,28650,14072,7839,7723,0.8429,0.4694,0.7081,0.0069,3,14,"Private Nonprofit"
"Jacksonville State University","Jacksonville","AL",1,33.822938,-85.765321,0.7622,0.0064,0,0.0341,0.0199,7030,0.1,23422,12426,22716,6983,6797,7774,0.6534,0.5112,0.6941,0.1069,1294,19,"Public"
"University of West Alabama","Livingston","AL",1,32.588132,-88.186329,0.8711,0,0,0,0.0075,2666,0.2052,22402,10990,20090,7985,7978,7627,0.3401,0.3804,0.6373,0.4355,3521,17,"Public"
"University of Mobile","Mobile","AL",1,30.793247,-88.128934,0.7251,0,0,0,0.0352,1079,0.013,38731,26120,26120,10256,8372,5790,1,0.5551,0.4287,0.0829,223,13,"Private Nonprofit"
"University of Montevallo","Montevallo","AL",1,33.10625,-86.865099,0.539,0.0091,0,0.0318,0.0523,2087,0.0728,26233,13710,26730,7664,12968,8549,0.6971,0.4938,0.5207,0.0601,397,13,"Public"
"University of North Alabama","Florence","AL",1,34.80731,-87.680407,0.9648,0.0033,0,0.0343,0.0564,5468,0.1472,22086,11990,22190,7929,7641,9049,0.5604,0.5403,0.2957,0.1121,2608,18,"Public"
"Oakwood University","Huntsville","AL",1,34.756344,-86.652705,0.5051,0,0,0.0419,0.0262,1253,0.0455,38592,21838,21838,11875,8660,5758,0.6047,0.4891,0.5754,0.0829,40,10,"Private Nonprofit"
"Samford University","Birmingham","AL",1,33.464128,-86.791799,0.8223,0.0024,0,0.0048,0.0322,3828,0.0133,53934,38144,38144,20011,16196,9810,0.99,0.7988,0.287,0.012,1959,14,"Private Nonprofit"
